account_tenure_days,customer_age,kyc_verified,is_vip_tier,num_deposit_methods_used,num_withdrawal_methods_used,deposit_count_30d,withdrawal_count_30d,total_deposit_amount_30d,total_withdrawal_amount_30d,avg_bet_size,num_devices_used_30d,num_distinct_ip_countries_30d,pct_deposits_near_reporting_threshold,median_hours_deposit_to_withdrawal,cross_border_payment_flag,night_time_transaction_pct,is_suspicious_activity
962,45,1,0,5,5,2,6,496.4,199.0,12.39,2,1,0.27,42.6,0,0.091,0
934,33,1,0,3,2,5,3,114.82,50.14,6.62,1,1,0.317,23.1,0,0.047,0
954,28,1,0,4,3,11,1,297.95,94.39,3.07,1,1,0.013,28.5,0,0.223,0
112,59,1,0,1,2,12,4,167.16,12.04,21.21,1,2,0.007,28.4,0,0.293,0
35,18,1,0,1,1,9,5,774.49,319.09,29.57,3,1,0.016,39.7,0,0.213,0
581,35,1,0,4,1,6,9,109.6,7.55,10.72,2,1,0.101,58.9,0,0.121,0
564,40,1,0,1,3,4,2,231.13,13.41,57.51,2,1,0.041,14.1,0,0.167,0
1250,55,1,0,2,3,7,7,181.27,60.38,14.72,1,2,0.354,39.4,0,0.364,0
32,33,1,0,2,1,9,5,45.07,16.12,16.78,2,1,0.026,65.9,0,0.482,0
419,70,1,0,1,3,4,4,112.47,60.05,6.22,2,1,0.288,49.9,0,0.28,0
28,47,1,0,3,1,9,5,287.26,115.89,31.07,3,2,0.083,33.3,0,0.07,0
436,18,0,0,3,4,7,5,1782.28,273.85,16.13,2,1,0.092,51.6,0,0.2,0
693,21,1,0,3,1,11,3,1661.28,356.86,25.48,2,2,0.158,24.2,0,0.143,0
155,41,1,0,3,1,10,3,186.95,39.93,41.3,1,1,0.101,90.5,0,0.122,0
493,24,1,0,2,2,5,6,187.67,21.78,32.69,2,2,0.24,43.4,0,0.076,0
62,45,1,0,1,2,4,4,234.4,116.57,32.05,1,3,0.114,52.1,0,0.21,0
37,33,1,0,3,1,10,3,141.55,115.66,11.7,1,1,0.11,55.4,0,0.432,0
126,24,1,0,4,2,5,5,431.62,293.61,28.48,3,1,0.413,22.6,0,0.417,0
360,26,0,0,2,3,5,3,1175.16,398.97,23.16,2,1,0.134,41.1,0,0.086,0
165,48,1,0,2,5,9,2,13.59,3.37,27.57,2,1,0.416,63.7,0,0.542,0
499,18,1,0,1,2,13,7,65.1,21.99,26.59,4,1,0.213,87.3,0,0.383,0
89,51,1,0,2,1,4,4,25.77,11.95,28.39,2,2,0.275,20.4,1,0.029,0
735,51,1,0,1,2,9,4,980.95,390.8,61.64,2,1,0.112,25.8,0,0.035,0
491,34,1,0,2,2,14,2,58.38,25.49,6.33,4,1,0.333,55.6,0,0.419,0
262,21,0,0,4,2,9,5,494.66,259.68,23.05,4,1,0.064,7.4,0,0.146,0
167,45,1,0,1,3,5,1,191.63,71.73,49.97,1,2,0.042,30.0,0,0.204,0
181,32,1,0,2,3,7,7,402.65,86.09,28.67,2,1,0.051,26.2,0,0.116,0
31,20,0,0,1,2,7,3,127.99,30.9,15.24,4,1,0.277,64.1,0,0.182,0
72,61,0,0,3,2,9,9,763.18,292.73,19.51,2,1,0.118,23.6,1,0.186,0
274,27,1,1,3,2,8,6,279.69,132.45,4.97,4,1,0.208,27.8,0,0.215,0
155,20,1,0,2,1,10,6,124.76,86.73,16.64,2,1,0.177,15.7,1,0.218,0
506,41,1,0,2,1,4,3,53.9,30.38,62.17,2,1,0.022,42.1,0,0.506,0
283,37,1,0,2,3,9,2,129.94,42.65,7.1,2,1,0.181,28.0,0,0.125,0
95,56,1,0,1,2,11,5,118.01,60.32,26.01,3,1,0.185,29.6,0,0.157,0
184,33,1,0,1,2,6,8,653.44,248.62,9.63,2,1,0.13,19.0,0,0.134,0
257,34,1,1,1,2,2,3,107.78,66.81,13.89,2,1,0.28,9.8,0,0.158,0
138,42,1,0,4,3,3,4,235.88,62.84,12.8,2,1,0.064,69.3,0,0.18,0
129,40,1,1,4,2,8,4,489.53,208.8,9.75,2,1,0.107,61.6,0,0.465,0
352,41,0,0,1,1,11,2,330.06,31.07,15.66,1,2,0.017,75.0,0,0.088,0
119,41,1,0,3,4,6,2,645.55,479.25,24.44,2,1,0.034,53.9,0,0.422,0
533,40,0,0,2,1,3,4,124.62,35.39,8.47,2,1,0.228,62.9,0,0.106,0
556,33,1,0,3,1,12,7,62.6,12.15,23.9,1,1,0.126,65.8,0,0.609,0
434,48,1,0,1,4,10,8,427.42,153.47,19.08,3,2,0.088,113.1,0,0.291,0
29,34,1,0,3,3,9,5,2253.99,246.88,31.12,2,1,0.069,61.3,0,0.084,0
454,48,0,0,2,3,8,5,255.55,83.43,5.79,3,1,0.424,5.6,0,0.349,0
542,55,1,0,4,2,5,6,193.12,91.2,5.86,3,2,0.036,38.4,0,0.342,0
449,30,1,0,2,1,3,2,173.15,40.66,104.25,2,1,0.262,46.2,0,0.203,0
112,67,1,0,3,2,11,3,245.09,87.59,10.93,1,1,0.189,63.8,0,0.378,0
128,29,1,0,4,1,3,2,214.86,11.02,12.95,2,1,0.096,26.7,0,0.454,0
66,30,1,0,2,4,13,4,77.29,40.68,11.48,5,1,0.24,67.7,0,0.321,0
142,44,1,0,1,3,8,10,319.0,131.14,49.31,2,1,0.505,67.0,0,0.274,0
8,43,1,0,1,1,15,3,39.47,5.33,4.59,2,1,0.288,33.2,0,0.513,0
67,39,1,0,3,1,8,4,146.32,14.59,11.73,1,1,0.156,34.1,0,0.224,0
526,48,1,0,1,3,12,4,443.05,125.11,13.02,5,1,0.034,17.3,0,0.283,0
1598,41,1,0,1,2,5,5,586.14,163.87,21.15,3,1,0.018,42.8,0,0.271,0
225,63,1,0,2,3,11,4,66.62,22.12,8.86,5,2,0.325,34.5,0,0.054,0
114,37,1,0,4,1,4,4,32.29,4.24,50.35,4,3,0.017,30.2,0,0.173,1
159,28,1,1,1,1,2,6,236.83,149.27,18.38,1,1,0.11,44.4,0,0.413,0
145,31,1,0,4,1,9,8,378.05,294.46,21.85,1,2,0.414,5.3,0,0.391,0
52,44,1,0,2,3,4,3,221.44,72.11,5.07,3,2,0.214,23.2,0,0.285,0
433,44,1,0,1,2,8,2,278.35,36.22,16.21,3,1,0.118,45.8,0,0.307,0
550,40,1,0,2,4,14,3,288.17,73.91,8.29,3,1,0.106,42.9,0,0.242,0
603,28,1,0,3,1,9,6,168.55,40.4,8.96,3,1,0.029,47.2,0,0.352,0
2124,51,1,0,1,3,2,4,161.56,58.03,1.79,1,1,0.106,103.1,0,0.245,0
843,61,1,0,1,4,6,5,481.09,108.5,11.48,2,1,0.259,52.4,0,0.124,0
658,38,1,0,2,2,4,4,145.93,56.5,3.01,3,1,0.024,56.4,0,0.17,0
417,60,1,0,1,1,9,2,138.29,43.32,53.73,4,1,0.055,33.5,0,0.524,0
237,48,1,0,3,1,5,10,388.96,205.41,26.5,5,2,0.04,27.7,0,0.225,0
18,65,1,0,1,1,9,4,144.56,23.3,41.07,2,2,0.046,65.3,0,0.296,0
383,44,1,0,3,1,10,5,610.47,424.64,5.32,2,4,0.053,46.3,0,0.063,0
249,40,1,0,1,3,9,2,481.78,279.48,47.76,1,1,0.189,34.7,0,0.018,0
603,48,1,0,3,3,6,5,840.08,421.13,47.87,3,1,0.243,38.6,0,0.421,0
811,33,1,1,3,3,9,2,922.81,520.25,15.84,2,1,0.221,54.5,0,0.167,0
133,43,1,0,3,3,13,4,84.82,35.16,23.05,4,2,0.038,76.0,0,0.076,0
20,54,1,0,1,1,12,5,1927.19,1053.46,9.28,4,1,0.071,38.3,0,0.424,0
370,48,1,0,1,2,5,2,171.53,67.95,11.63,2,2,0.029,53.3,0,0.414,0
1021,38,1,0,2,1,12,1,559.01,190.18,68.62,3,1,0.021,31.7,0,0.039,0
328,40,1,0,2,2,3,3,622.19,87.2,10.92,4,1,0.255,50.8,0,0.416,0
852,47,1,0,3,1,11,6,1152.9,473.86,59.8,3,2,0.188,74.7,0,0.049,0
301,47,1,0,2,3,8,5,230.56,44.73,10.45,2,1,0.048,79.2,1,0.372,0
526,47,0,0,1,3,12,4,35.3,4.65,57.07,2,1,0.116,27.7,1,0.136,0
116,42,1,0,1,3,10,2,136.64,42.57,28.85,3,2,0.078,35.0,0,0.317,0
54,28,1,0,1,5,13,7,147.82,10.09,95.3,1,2,0.488,50.6,0,0.445,0
57,30,0,1,2,1,10,4,327.65,209.05,24.93,3,1,0.198,48.5,0,0.372,0
47,44,1,0,1,4,7,5,65.05,34.07,25.33,2,1,0.12,20.6,0,0.461,0
22,48,1,0,4,3,7,2,183.68,41.93,2.18,3,2,0.056,58.7,1,0.328,0
687,46,1,0,2,3,7,2,129.32,51.13,5.54,2,2,0.098,75.0,0,0.354,0
179,30,1,0,2,2,2,5,1918.95,727.15,32.65,2,1,0.228,61.8,0,0.407,0
154,36,1,0,3,2,7,5,120.36,83.46,44.99,5,1,0.213,24.4,0,0.132,0
374,24,0,0,1,3,7,4,387.69,9.27,6.81,1,2,0.081,41.5,0,0.302,0
75,21,1,0,4,2,13,2,839.36,225.93,8.83,4,1,0.477,31.9,0,0.502,0
767,39,1,0,4,1,10,3,175.84,14.04,44.6,2,2,0.042,44.5,0,0.403,0
517,54,1,0,3,3,11,0,225.14,30.25,18.64,7,2,0.108,39.2,0,0.077,0
132,39,1,0,1,1,11,0,123.51,46.81,26.16,3,1,0.325,20.8,0,0.151,0
80,61,1,0,2,1,8,4,325.81,147.91,8.13,2,1,0.278,97.3,0,0.11,0
212,36,1,0,3,1,7,4,122.61,24.34,28.41,3,1,0.067,27.1,0,0.44,0
122,38,1,0,3,2,5,6,229.99,183.11,2.75,2,3,0.05,25.3,0,0.118,0
30,26,1,0,1,2,7,1,96.5,20.97,28.0,2,1,0.22,59.2,1,0.427,0
201,34,1,0,2,2,6,4,656.76,164.13,17.76,2,1,0.189,81.4,0,0.089,0
901,24,0,0,2,2,6,3,222.65,133.23,29.98,2,1,0.282,30.4,1,0.439,0
404,19,1,0,2,1,8,5,118.41,62.44,11.06,1,2,0.051,21.4,0,0.429,0
1233,24,1,0,3,1,7,1,1167.03,608.56,19.42,2,1,0.198,28.9,0,0.044,0
819,39,1,0,1,1,12,4,130.98,72.58,45.91,2,1,0.222,40.7,0,0.181,0
447,29,0,0,2,1,7,6,20.66,11.97,8.74,2,1,0.095,82.6,0,0.216,0
740,32,1,1,1,4,9,4,82.75,18.97,32.14,4,1,0.372,36.1,0,0.117,1
291,43,1,0,2,1,7,1,63.13,37.27,93.57,1,1,0.075,88.4,0,0.341,0
427,19,0,0,1,3,7,3,563.02,279.88,51.43,3,1,0.022,171.9,0,0.133,0
152,39,1,0,1,1,8,5,292.77,76.49,6.46,1,1,0.04,34.5,0,0.267,0
88,48,1,0,1,4,10,5,643.98,556.61,11.27,2,2,0.279,59.8,0,0.519,0
858,49,1,0,2,1,9,4,143.88,110.55,6.89,4,1,0.03,30.6,0,0.368,0
56,44,1,0,3,5,7,8,60.79,43.26,45.01,2,1,0.107,95.1,0,0.316,0
75,37,1,0,1,2,7,3,39.85,25.38,13.57,1,1,0.33,68.4,0,0.229,0
124,31,0,0,2,3,8,4,80.65,36.28,25.67,1,2,0.137,59.1,0,0.07,0
387,37,1,0,2,3,11,6,175.54,63.21,16.41,1,1,0.134,89.9,0,0.478,0
166,58,1,1,1,2,11,4,539.41,195.87,8.9,1,1,0.123,46.2,1,0.467,0
274,41,1,0,3,1,8,2,53.06,39.76,27.54,1,1,0.237,26.7,0,0.239,0
864,37,1,0,2,2,4,8,399.12,167.01,28.14,2,1,0.18,37.0,0,0.216,0
617,45,1,0,3,3,5,4,873.37,352.27,63.12,2,2,0.087,14.5,0,0.415,0
468,39,1,0,2,3,8,3,396.73,69.61,10.44,2,1,0.135,41.3,0,0.088,0
68,41,1,0,3,4,5,3,178.79,115.94,7.13,1,2,0.168,21.9,1,0.093,0
476,35,1,0,1,3,9,1,7469.51,2813.27,40.0,2,1,0.074,58.0,0,0.365,0
182,33,1,0,1,1,6,3,337.69,162.66,12.02,2,1,0.097,5.5,0,0.335,0
50,50,1,0,1,2,6,4,281.62,227.94,27.08,4,1,0.11,102.2,1,0.266,0
160,18,1,0,3,5,4,1,90.39,21.6,20.59,3,1,0.02,86.4,0,0.328,0
28,44,0,0,2,3,10,5,720.05,336.6,47.98,3,2,0.118,44.2,0,0.367,0
366,32,1,0,5,1,8,5,124.84,19.17,13.96,3,1,0.334,39.2,0,0.122,0
389,18,0,0,1,1,10,3,43.12,6.78,17.01,1,1,0.111,68.1,0,0.257,0
118,26,1,0,1,2,8,3,79.07,34.1,13.04,3,2,0.107,48.9,0,0.509,0
18,38,1,0,2,3,9,7,184.15,100.38,14.67,3,1,0.079,39.3,0,0.003,0
1092,39,1,0,2,1,6,2,215.8,15.93,33.03,3,1,0.094,89.4,0,0.225,0
323,47,1,0,1,3,13,3,175.05,57.01,12.69,4,2,0.08,60.5,0,0.345,0
595,48,1,0,3,2,6,4,94.31,20.57,30.02,3,1,0.155,11.7,0,0.089,0
141,19,1,0,2,2,13,8,175.89,64.68,35.69,2,1,0.084,13.0,0,0.036,0
671,43,1,0,1,1,6,5,165.24,23.94,5.92,2,2,0.011,73.6,0,0.312,0
657,47,1,0,2,1,6,7,182.36,38.24,63.61,1,1,0.042,36.6,1,0.587,0
37,41,1,0,3,1,5,4,206.88,17.91,15.99,2,1,0.204,17.1,0,0.348,0
2173,44,1,0,3,5,7,4,170.96,79.18,5.02,2,1,0.12,89.0,0,0.291,0
269,18,1,0,1,1,4,4,82.83,70.16,30.04,1,1,0.113,13.4,0,0.096,0
559,26,1,0,2,2,6,4,1313.83,861.02,12.96,3,2,0.163,33.2,0,0.336,0
